iter	Logloss
0	0.649145602
1	0.6106098809
2	0.5804628203
3	0.5522560296
4	0.5262191301
5	0.5008077745
6	0.4812963667
7	0.4620362694
8	0.4461815136
9	0.4303348909
10	0.41420735
11	0.4011998877
12	0.390748576
13	0.380803938
14	0.3710193007
15	0.364141559
16	0.3554514009
17	0.3492318006
18	0.3419543947
19	0.3378270902
20	0.3330130599
21	0.3283114418
22	0.3239310196
23	0.3201538144
24	0.3157883014
25	0.3126069542
26	0.3092978501
27	0.3057001869
28	0.3022073155
29	0.2991090176
30	0.2959411477
31	0.293331285
32	0.2905582726
33	0.2879578875
34	0.2855462419
35	0.2836844614
36	0.281786696
37	0.2802803486
38	0.2789353176
39	0.2775255291
40	0.2758792745
41	0.2738899175
42	0.272304901
43	0.2712590987
44	0.2696151749
45	0.2678186844
46	0.2662825382
47	0.2651202296
48	0.2637659432
49	0.2622805999
50	0.2609587658
51	0.2596496799
52	0.2586388488
53	0.257530808
54	0.2563464191
55	0.2553938177
56	0.2542417604
57	0.2530719217
58	0.2521841679
59	0.2512767833
60	0.2504818698
61	0.2497337795
62	0.2492156566
63	0.2486778893
64	0.2478278482
65	0.2471225834
66	0.246082235
67	0.2452863539
68	0.2446291569
69	0.2441226328
70	0.2435059387
71	0.2430224158
72	0.2425473679
73	0.2417466747
74	0.2411925031
75	0.2405901385
76	0.2401958844
77	0.2396339447
78	0.2391088673
79	0.2386577359
80	0.2381252802
81	0.2376816821
82	0.2371224749
83	0.2367068894
84	0.2362257765
85	0.2358506947
86	0.2353571353
87	0.2350399715
88	0.2345352274
89	0.2341770216
90	0.2338436434
91	0.233474996
92	0.2331382786
93	0.2327619499
94	0.2323786728
95	0.2318463624
96	0.2314195144
97	0.2310563545
98	0.2307502608
99	0.2303961101
100	0.2300228349
101	0.2297031556
102	0.2294196433
103	0.2291325411
104	0.2288105635
105	0.2285877926
106	0.2282589587
107	0.2279334575
108	0.2276412376
109	0.227200069
110	0.2268865522
111	0.2265965175
112	0.2262775312
113	0.2260243874
114	0.2257122813
115	0.2253910005
116	0.2251471192
117	0.2249142149
118	0.2246985461
119	0.2245074147
120	0.2240693987
121	0.2237190131
122	0.2234510206
123	0.22318656
124	0.2229539408
125	0.222671016
126	0.2224127273
127	0.2220661946
128	0.2217771575
129	0.2214826903
130	0.2212394189
131	0.2210140257
132	0.2207578488
133	0.2205362881
134	0.2202804292
135	0.2198814389
136	0.2196995026
137	0.219475796
138	0.2193013885
139	0.2190885803
140	0.2189097539
141	0.2187230199
142	0.218428627
143	0.218166563
144	0.2179186749
145	0.2177320918
146	0.2174924132
147	0.2173068887
148	0.2171508206
149	0.2169305051
150	0.2167165354
151	0.2164227056
152	0.216245001
153	0.2160501943
154	0.2159058458
155	0.2157259581
156	0.2155017146
157	0.2152952334
158	0.2151336457
159	0.2149782265
160	0.2148205437
161	0.2145280808
162	0.2143882254
163	0.2142610329
164	0.2140179512
165	0.2138141675
166	0.21361488
167	0.2133922839
168	0.2132505474
169	0.2131110857
170	0.2128181727
171	0.2126904662
172	0.2125587398
173	0.2124089347
174	0.2122403629
175	0.212065689
176	0.2119170669
177	0.2117387987
178	0.2116221546
179	0.211357231
180	0.211164562
181	0.2109675144
182	0.2108599855
183	0.2107253193
184	0.2105936972
185	0.2104134625
186	0.2102394508
187	0.2100739219
188	0.2098811925
189	0.2096840627
190	0.209574278
191	0.2093933563
192	0.2092936284
193	0.2091520358
194	0.2090294269
195	0.2087620908
196	0.208589748
197	0.2084737816
198	0.2083127391
199	0.2081942276
200	0.2080460944
201	0.2078812253
202	0.2077162946
203	0.2075444346
204	0.2073538197
205	0.2071502049
206	0.2070268462
207	0.2068994519
208	0.2067448701
209	0.2065783625
210	0.206423983
211	0.2062622213
212	0.2061054879
213	0.205975802
214	0.2058472688
215	0.205741114
216	0.2056177388
217	0.2055131553
218	0.2053109124
219	0.2051210547
220	0.2050150124
221	0.2048696367
222	0.2047564707
223	0.2045701978
224	0.204384511
225	0.2042178142
226	0.2040663178
227	0.2038889344
228	0.2037238144
229	0.2036068323
230	0.2034364914
231	0.2032606439
232	0.2031261817
233	0.2030278644
234	0.2028343201
235	0.2026513953
236	0.2024713673
237	0.2023085859
238	0.2021511713
239	0.2020726904
240	0.2019721839
241	0.2018519443
242	0.2017535658
243	0.2016000113
244	0.2014523166
245	0.201298183
246	0.2011665389
247	0.2010465007
248	0.20095843
249	0.2007994915
250	0.2006916503
251	0.2005698675
252	0.2004703192
253	0.2003717274
254	0.2002435356
255	0.2001518161
256	0.2000233572
257	0.1999195955
258	0.1997331627
