iter	Passed	Remaining
420	2271	3123
421	2276	3117
422	2280	3111
423	2285	3104
424	2289	3097
425	2293	3090
426	2297	3083
427	2302	3076
428	2306	3069
429	2311	3063
430	2316	3057
431	2320	3051
432	2325	3044
433	2330	3039
434	2335	3033
435	2339	3026
436	2344	3020
437	2348	3013
438	2352	3006
439	2356	2999
440	2360	2992
441	2365	2985
442	2369	2979
443	2374	2973
444	2379	2967
445	2383	2960
446	2387	2953
447	2392	2947
448	2397	2942
449	2402	2935
450	2406	2929
451	2411	2923
452	2415	2916
453	2420	2910
454	2425	2905
455	2430	2899
456	2435	2893
457	2439	2886
458	2443	2880
459	2447	2873
460	2452	2867
461	2458	2862
462	2462	2855
463	2466	2849
464	2470	2842
465	2475	2836
466	2480	2830
467	2484	2824
468	2489	2818
469	2494	2812
470	2498	2805
471	2502	2799
472	2506	2792
473	2511	2786
474	2515	2780
475	2520	2774
476	2524	2768
477	2529	2762
478	2534	2756
479	2539	2750
480	2543	2744
481	2548	2738
482	2552	2732
483	2556	2725
484	2560	2719
485	2564	2712
486	2569	2706
487	2574	2700
488	2579	2695
489	2583	2688
490	2587	2682
491	2591	2676
492	2596	2669
493	2600	2663
494	2604	2657
495	2609	2651
496	2613	2644
497	2617	2638
498	2623	2633
499	2628	2628
500	2633	2622
501	2638	2617
502	2643	2611
503	2648	2606
504	2652	2600
505	2656	2593
506	2661	2587
507	2665	2581
508	2670	2575
509	2674	2570
510	2679	2563
511	2683	2557
512	2688	2552
513	2693	2546
514	2698	2540
515	2702	2535
516	2707	2529
517	2711	2523
518	2715	2517
519	2720	2511
520	2725	2505
521	2729	2499
522	2733	2492
523	2737	2487
524	2742	2481
525	2747	2475
526	2751	2469
527	2755	2463
528	2760	2457
529	2765	2452
530	2769	2446
531	2774	2440
532	2778	2434
533	2783	2428
534	2787	2422
535	2792	2417
536	2797	2411
537	2801	2405
538	2806	2400
539	2810	2394
540	2814	2387
541	2819	2382
542	2825	2377
543	2830	2372
544	2835	2367
545	2840	2361
546	2845	2356
547	2849	2350
548	2854	2344
549	2858	2338
550	2863	2333
551	2867	2327
552	2872	2321
553	2876	2316
554	2881	2310
555	2885	2304
556	2889	2298
557	2893	2292
558	2897	2286
559	2902	2280
560	2907	2274
561	2911	2269
562	2916	2263
563	2920	2258
564	2925	2252
565	2929	2246
566	2933	2240
567	2938	2234
568	2942	2229
569	2947	2223
570	2952	2218
571	2956	2212
572	2960	2206
573	2964	2200
574	2969	2194
575	2973	2188
576	2977	2183
577	2982	2177
578	2986	2171
579	2990	2165
580	2994	2159
581	2999	2153
582	3003	2148
583	3009	2143
584	3013	2138
585	3018	2132
586	3023	2127
587	3028	2121
588	3033	2117
589	3038	2111
590	3042	2105
591	3046	2099
592	3051	2094
593	3055	2088
594	3059	2082
595	3064	2077
596	3069	2072
597	3074	2066
598	3078	2060
599	3082	2054
600	3087	2049
601	3092	2044
602	3096	2038
603	3100	2032
604	3104	2027
605	3109	2021
606	3113	2015
607	3117	2010
608	3122	2004
609	3127	1999
610	3132	1994
611	3136	1988
